game_id,tot_reviews,pos_reviews,pos_ratio
1003590,7381,7017,0.9506841891342637
1003860,31,30,0.967741935483871
1004770,762,741,0.9724409448818898
1005220,41,40,0.975609756097561
1005400,239,228,0.9539748953974896
1008860,401,391,0.9750623441396509
1009360,29,28,0.9655172413793104
1010290,28,28,1.0
1015920,328,321,0.9786585365853658
1015940,237,230,0.9704641350210971
1016700,35,35,1.0
1018860,26,25,0.9615384615384616
1023790,29,28,0.9655172413793104
1024160,167,160,0.9580838323353293
1028350,478,459,0.9602510460251046
1029650,208,207,0.9951923076923077
1031900,242,239,0.987603305785124
1035990,1776,1763,0.9926801801801802
1036370,105,102,0.9714285714285714
1040200,11371,11100,0.9761674434966142
1043810,6382,6283,0.9844876214352868
1045720,3045,2916,0.9576354679802955
1049100,4289,4098,0.9554674749358825
1050260,37,36,0.972972972972973
1051350,53,53,1.0
1052990,1255,1197,0.9537848605577689
1054950,156,149,0.9551282051282052
1058830,3923,3810,0.9711955136375223
1059990,320,315,0.984375
1061910,14713,14145,0.9613946849724733
1062160,7530,7178,0.9532536520584329
1064460,2049,1969,0.9609565641776476
1065070,119,115,0.9663865546218487
1066420,87,84,0.9655172413793104
1066900,459,445,0.9694989106753813
1067440,116,112,0.9655172413793104
1068410,31,31,1.0
1068460,107,107,1.0
1069160,2309,2196,0.9510610653962754
1070790,312,308,0.9871794871794872
1071130,1011,991,0.9802176063303659
1072300,50,48,0.96
1074280,27,26,0.9629629629629629
1074500,38,38,1.0
1076130,202,199,0.9851485148514851
1076620,160,158,0.9875
1077510,51,49,0.9607843137254902
1078200,393,378,0.9618320610687023
1078420,1263,1205,0.9540775930324624
1079260,5850,5664,0.9682051282051282
1080040,45,43,0.9555555555555556
1080680,31,30,0.967741935483871
1082430,15462,15137,0.9789807269434744
1083790,463,459,0.9913606911447084
1084640,2165,2062,0.9524249422632795
1086940,51540,50419,0.9782499029879705
1087790,40,40,1.0
1088850,4860,4733,0.9738683127572016
1089980,30650,30031,0.9798042414355628
1090100,104,99,0.9519230769230769
1090920,62,61,0.9838709677419355
1091920,1069,1021,0.9550982226379794
1092790,122929,119131,0.9691041170106321
1094420,516,494,0.9573643410852714
1094820,839,816,0.9725864123957092
1095260,396,384,0.9696969696969697
1095290,85,81,0.9529411764705882
1096060,161,155,0.9627329192546584
1096180,390,379,0.9717948717948718
1098130,60,60,1.0
1098220,33,32,0.9696969696969697
1098470,54,53,0.9814814814814815
1098560,47,45,0.9574468085106383
1098770,368,365,0.9918478260869565
1100140,1104,1092,0.9891304347826086
1100150,589,573,0.9728353140916808
1101800,35,34,0.9714285714285714
1102190,20493,19687,0.9606694969013809
1103550,48,48,1.0
1104380,3590,3506,0.9766016713091922
1108170,113,109,0.9646017699115044
1109300,39,39,1.0
1109490,30,30,1.0
1109820,84,81,0.9642857142857143
1110620,51,49,0.9607843137254902
1110770,42,41,0.9761904761904762
1111370,1818,1750,0.9625962596259626
1111600,58,57,0.9827586206896551
1113000,73340,71179,0.9705344968639215
1114380,123,118,0.959349593495935
1114620,46,46,1.0
1114650,243,240,0.9876543209876543
1114950,172,168,0.9767441860465116
1115050,2674,2608,0.975317875841436
1119980,5222,4982,0.9540405974722329
1120420,34,33,0.9705882352941176
1121270,27,26,0.9629629629629629
1121300,83,79,0.9518072289156626
1123450,3125,3052,0.97664
1124990,54,52,0.9629629629629629
1125510,364,358,0.9835164835164835
1125830,28,28,1.0
1125880,41,41,1.0
1127130,26,26,1.0
1127500,20229,19439,0.9609471550743981
1127850,215,206,0.958139534883721
1128370,26,26,1.0
1129190,11692,11559,0.9886247006500171
1129920,542,536,0.988929889298893
1130410,3627,3450,0.9511993382961125
1131190,1505,1433,0.9521594684385382
1131410,53,52,0.9811320754716981
1131670,132,128,0.9696969696969697
1131800,64,61,0.953125
1135440,266,257,0.9661654135338346
1138850,3583,3425,0.9559028746860173
1139280,60,57,0.95
1140270,5797,5613,0.9682594445402795
1141270,26,25,0.9615384615384616
1141600,29,29,1.0
1142810,266,260,0.9774436090225563
1144020,469,450,0.9594882729211087
1144140,29,28,0.9655172413793104
1144400,27470,27188,0.9897342555515107
1145130,157,155,0.9872611464968153
1145360,56360,54637,0.9694286728176011
1146370,665,646,0.9714285714285714
1147860,3675,3538,0.9627210884353742
1148350,1316,1300,0.9878419452887538
1148760,3360,3254,0.968452380952381
1149000,27,27,1.0
1150460,406,392,0.9655172413793104
1150690,74532,72561,0.9735549830945097
1150760,5674,5400,0.9517095523440254
1151100,40,38,0.95
1151440,1341,1295,0.9656972408650261
1151930,126,124,0.9841269841269841
1153150,123,120,0.975609756097561
1153200,54,52,0.9629629629629629
1155300,49,47,0.9591836734693877
1155650,501,476,0.9500998003992016
1157700,426,413,0.9694835680751174
1157740,597,577,0.966499162479062
1158410,37,37,1.0
1160020,187,179,0.9572192513368984
1161170,6589,6351,0.9638791925937168
1161180,42,41,0.9761904761904762
1161870,2158,2129,0.9865616311399444
1162070,1249,1193,0.9551641313050441
1162430,30,30,1.0
1162750,5252,5074,0.9661081492764662
1163060,95,93,0.9789473684210527
1163090,59,57,0.9661016949152542
1163740,510,485,0.9509803921568627
1164050,3843,3670,0.9549830861306271
1164060,111,106,0.954954954954955
1164100,485,465,0.9587628865979382
1164460,32,31,0.96875
1166990,900,882,0.98
1167150,52,50,0.9615384615384616
1167630,100003,95544,0.9554113376598702
1167850,31,30,0.967741935483871
1169200,448,442,0.9866071428571429
1170060,1123,1072,0.9545859305431879
1170120,49,47,0.9591836734693877
1171130,27,26,0.9629629629629629
1171320,1662,1644,0.9891696750902527
1171370,3972,3919,0.9866565961732124
1172450,7999,7735,0.9669958744843106
1173010,1652,1576,0.9539951573849879
1173310,26,25,0.9615384615384616
1174090,102,97,0.9509803921568627
1174400,368,355,0.9646739130434783
1175080,71,69,0.971830985915493
1175140,2923,2787,0.9534724598015737
1175400,26,25,0.9615384615384616
1176050,239,238,0.99581589958159
1176480,26,25,0.9615384615384616
1177980,7488,7175,0.9581997863247863
1178000,29,29,1.0
1178030,6998,6805,0.972420691626179
1178290,40,40,1.0
1179080,6470,6186,0.9561051004636785
1179890,102,102,1.0
1180130,256,249,0.97265625
1180540,185,181,0.9783783783783784
1181400,899,873,0.9710789766407119
1182620,11227,10763,0.9586710608354859
1182830,239,230,0.9623430962343096
1183010,29,28,0.9655172413793104
1183480,26,26,1.0
1183500,180,174,0.9666666666666667
1184450,41,39,0.9512195121951219
1189220,88,84,0.9545454545454546
1189850,185,182,0.9837837837837838
1190000,26728,25633,0.959031727027836
1191770,118,118,1.0
1192440,155,154,0.9935483870967742
1194740,662,644,0.972809667673716
1196580,27,27,1.0
1196590,113043,108092,0.9562025070106066
1197390,31,31,1.0
1198040,271,259,0.955719557195572
1198210,102,99,0.9705882352941176
1198270,47,47,1.0
1198510,206,198,0.9611650485436893
1200720,639,623,0.974960876369327
1200930,33,32,0.9696969696969697
1201270,5269,5143,0.9760865439362307
1201280,1293,1271,0.982985305491106
1202540,6726,6565,0.9760630389533155
1202580,54,54,1.0
1203970,142,138,0.971830985915493
1204710,38,37,0.9736842105263158
1204940,33,33,1.0
